# Tanca -- dados filtrados
# periodo     : 2026-01-17 00:00:00  ->  2026-01-27 00:00:00  (UTC)
# bin         : 5 min
# corte_deriv : |d(rate)/dt| < 0.075 Hz/s
# corte_dt    : dt <= 1.0 * bin_width  (0 = sem corte)
# rate_min    : 1600.00 Hz
# rate_max    : 2400.00 Hz
# bins_aceitos: 2719 / 2774  (98.0%)
# sumRate1Hz = rateHz * count  (soma dos rates de 1 Hz no bin)
# secondsEpoch, rateHz, sumRate1Hz, count
1768760850, 1932.90, 568273.19, 294
1768761150, 1930.93, 567692.38, 294
1768761450, 1935.90, 561409.58, 290
1768761750, 1938.56, 571875.88, 295
1768762050, 1932.76, 564367.13, 292
1768762350, 1939.40, 570182.73, 294
1768762650, 1935.03, 568899.17, 294
1768762950, 1930.97, 559981.44, 290
1768763250, 1936.30, 569271.91, 294
1768763550, 1932.62, 568189.55, 294
1768763850, 1937.70, 561933.70, 290
1768764150, 1933.75, 564656.26, 292
1768764450, 1943.29, 571327.95, 294
1768764750, 1933.36, 560673.07, 290
1768765050, 1943.70, 567560.52, 292
1768765350, 1936.04, 569195.57, 294
1768765650, 1936.40, 567364.84, 293
1768765950, 1930.97, 567704.87, 294
1768766250, 1939.36, 560474.22, 289
1768766550, 1942.66, 571140.58, 294
1768766850, 1929.84, 563514.11, 292
1768767150, 1941.34, 568814.05, 293
1768767450, 1931.88, 560246.47, 290
1768767750, 1940.24, 566549.04, 292
1768768050, 1928.84, 563222.55, 292
1768768350, 1941.90, 570918.26, 294
1768768650, 1937.55, 569639.83, 294
1768768950, 1941.94, 563163.12, 290
1768769250, 1935.79, 569121.35, 294
1768769550, 1935.33, 565114.95, 292
1768769850, 1933.73, 568516.67, 294
1768770150, 1936.10, 565341.43, 292
1768770450, 1933.70, 568509.25, 294
1768770750, 1929.71, 567334.00, 294
1768771050, 1937.34, 557952.65, 288
1768771350, 1936.39, 567362.50, 293
1768771650, 1940.40, 566597.22, 292
1768771950, 1937.26, 569555.21, 294
1768772250, 1946.72, 572336.66, 294
1768772550, 1941.31, 570744.32, 294
1768772850, 1943.29, 567440.95, 292
1768773150, 1935.27, 561229.15, 290
1768773450, 1943.07, 563491.00, 290
1768773750, 1935.84, 565264.52, 292
1768774050, 1942.84, 571193.53, 294
1768774350, 1940.76, 566701.33, 292
1768774650, 1935.93, 561418.72, 290
1768774950, 1939.30, 566276.91, 292
1768775250, 1932.69, 568211.24, 294
1768775550, 1939.41, 568247.58, 293
1768775850, 1935.29, 568974.23, 294
1768776150, 1942.89, 571209.19, 294
1768776450, 1935.71, 569097.36, 294
1768776750, 1941.50, 570802.04, 294
1768777050, 1933.06, 564454.66, 292
1768777350, 1935.97, 565304.41, 292
1768777650, 1930.60, 563734.84, 292
1768777950, 1941.11, 570685.10, 294
1768778250, 1934.59, 568768.09, 294
1768778550, 1937.04, 559804.31, 289
1768778850, 1936.80, 565545.38, 292
1768779150, 1926.04, 562404.55, 292
1768779450, 1939.02, 570072.79, 294
1768779750, 1930.48, 567561.62, 294
1768780050, 1938.72, 571921.89, 295
1768780350, 1933.97, 568587.47, 294
1768780650, 1940.36, 570466.48, 294
1768780950, 1928.38, 566944.75, 294
1768781250, 1941.06, 570672.83, 294
1768781550, 1928.75, 563194.84, 292
1768781850, 1934.74, 561073.94, 290
1768782150, 1928.26, 559194.19, 290
1768782450, 1938.68, 569972.65, 294
1768782750, 1943.67, 567550.24, 292
1768783050, 1933.46, 568437.42, 294
1768783350, 1943.32, 571335.11, 294
1768783650, 1932.14, 568049.19, 294
1768783950, 1933.45, 564566.12, 292
1768784250, 1933.43, 560694.56, 290
1768784550, 1938.50, 569919.86, 294
1768784850, 1936.92, 571390.28, 295
1768785150, 1941.40, 563005.11, 290
1768785450, 1937.56, 561892.36, 290
1768785750, 1948.56, 572876.87, 294
1768786050, 1935.10, 568918.70, 294
1768786350, 1945.22, 571895.24, 294
1768786650, 1946.80, 572358.92, 294
1768786950, 1931.44, 563981.38, 292
1768787250, 1935.18, 565073.30, 292
1768787550, 1933.18, 570286.73, 295
1768787850, 1942.20, 571008.20, 294
1768788150, 1935.66, 565213.75, 292
1768788450, 1931.44, 567842.80, 294
1768788750, 1930.87, 563813.00, 292
1768789050, 1939.50, 566334.91, 292
1768789350, 1932.65, 560468.20, 290
1768789650, 1938.67, 569969.46, 294
1768789950, 1931.43, 567841.10, 294
1768790250, 1937.00, 569478.16, 294
1768790550, 1925.47, 568012.55, 295
1768790850, 1934.09, 564753.43, 292
1768791150, 1930.26, 567497.03, 294
1768791450, 1923.43, 555869.96, 289
1768791750, 1931.70, 564054.99, 292
1768792050, 1924.16, 556081.07, 289
1768792350, 1932.89, 564402.48, 292
1768792650, 1937.09, 571441.62, 295
1768792950, 1938.26, 569847.28, 294
1768793250, 1935.92, 569160.73, 294
1768793550, 1948.42, 568937.69, 292
1768793850, 1936.88, 569443.70, 294
1768794150, 1939.75, 570285.17, 294
1768794450, 1938.97, 570058.52, 294
1768794750, 1925.26, 566026.26, 294
1768795050, 1927.29, 566622.13, 294
1768795350, 1923.14, 567326.84, 295
1768795650, 1937.42, 569601.06, 294
1768795950, 1937.89, 569738.93, 294
1768796250, 1946.29, 572210.55, 294
1768796550, 1930.46, 567555.19, 294
1768796850, 1943.81, 561762.17, 289
1768797150, 1938.51, 569921.23, 294
1768797450, 1937.97, 565887.16, 292
1768797750, 1930.14, 567461.73, 294
1768798050, 1935.53, 569044.87, 294
1768798350, 1939.46, 570202.29, 294
1768798650, 1928.62, 563155.74, 292
1768798950, 1940.01, 570364.03, 294
1768799250, 1923.15, 561560.56, 292
1768799550, 1937.27, 567621.20, 293
1768799850, 1926.77, 562616.37, 292
1768800150, 1935.15, 565064.99, 292
1768800450, 1923.89, 565624.48, 294
1768800750, 1920.82, 560878.37, 292
1768801050, 1916.13, 555678.42, 290
1768801350, 1930.59, 567592.72, 294
1768801650, 1925.49, 566095.31, 294
1768801950, 1936.73, 565524.53, 292
1768802250, 1939.43, 566312.91, 292
1768802550, 1937.15, 571460.18, 295
1768802850, 1942.46, 567196.90, 292
1768803150, 1928.01, 559122.40, 290
1768803450, 1940.36, 566584.73, 292
1768803750, 1938.96, 566177.40, 292
1768804050, 1941.00, 570654.94, 294
1768804350, 1939.55, 570228.18, 294
1768804650, 1940.39, 570474.99, 294
1768804950, 1933.46, 564570.01, 292
1768805250, 1940.69, 566682.92, 292
1768805550, 1932.70, 568213.90, 294
1768805850, 1944.24, 567716.94, 292
1768806150, 1945.11, 564083.18, 290
1768806450, 1942.20, 571007.68, 294
1768806750, 1945.45, 571961.04, 294
1768807050, 1940.95, 570639.93, 294
1768807350, 1949.03, 571064.95, 293
1768807650, 1941.32, 566866.59, 292
1768807950, 1945.89, 568199.83, 292
1768808250, 1933.21, 562563.91, 291
1768808550, 1950.01, 573304.31, 294
1768808850, 1937.98, 569764.65, 294
1768809150, 1945.62, 572011.77, 294
1768809450, 1943.04, 565424.58, 291
1768809750, 1942.55, 571109.61, 294
1768810050, 1943.64, 571430.29, 294
1768810350, 1946.04, 568244.82, 292
1768810650, 1952.67, 574083.91, 294
1768810950, 1947.93, 572692.47, 294
1768811250, 1947.09, 564655.09, 290
1768811550, 1939.81, 572245.10, 295
1768811850, 1945.75, 572050.93, 294
1768812150, 1945.37, 568049.41, 292
1768812450, 1951.83, 573839.38, 294
1768812750, 1940.29, 570446.43, 294
1768813050, 1939.91, 570334.01, 294
1768813350, 1936.91, 565578.60, 292
1768813650, 1943.64, 567543.40, 292
1768813950, 1950.76, 573522.02, 294
1768814250, 1941.58, 572766.28, 295
1768814550, 1941.99, 567059.75, 292
1768814850, 1933.77, 568527.51, 294
1768815150, 1946.90, 572387.58, 294
1768815450, 1939.91, 570334.88, 294
1768815750, 1938.82, 570013.74, 294
1768816050, 1929.22, 567191.67, 294
1768816350, 1929.07, 567146.06, 294
1768816650, 1923.77, 561740.00, 292
1768816950, 1920.95, 562838.73, 293
1768817250, 1907.46, 560792.76, 294
1768817550, 1917.95, 563877.40, 294
1768817850, 1905.99, 556549.91, 292
1768818150, 1896.48, 557565.83, 294
1768819350, 1904.02, 559780.42, 294
1768819650, 1901.28, 551371.75, 290
